min/max,selection,crossover,mutation,x1,x2,best,mean,std,params
min,best,one_point,shuffle_indexes,-0.5604729652404785,-1.553217887878418,-1.9130097006314828,7.149864333560853,9.315977260706553,"Min/max: min, Selection: best, Crossover: one_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,best,one_point,flip_bit,-0.5577244758605957,-1.5503339767456055,-1.91308771142132,6.170312889350301,8.949165417203861,"Min/max: min, Selection: best, Crossover: one_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,best,two_point,shuffle_indexes,-0.5425658226013184,-1.545180320739746,-1.9131969520461811,4.752968170996735,7.458226360618183,"Min/max: min, Selection: best, Crossover: two_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,best,two_point,flip_bit,-0.5493741035461426,-1.5528373718261719,-1.9131845454756764,6.0721053185196014,8.4760562293054,"Min/max: min, Selection: best, Crossover: two_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,tournament,one_point,shuffle_indexes,-0.546630859375,-1.54693603515625,-1.9132225647858045,-0.8578389284253929,3.5151255182885017,"Min/max: min, Selection: tournament, Crossover: one_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,tournament,one_point,flip_bit,-0.5554218292236328,-1.5504608154296875,-1.913141328352114,0.541481010808739,6.190428034601046,"Min/max: min, Selection: tournament, Crossover: one_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,tournament,two_point,shuffle_indexes,-0.5472235679626465,-1.5472030639648438,-1.9132229541301622,0.192103104941616,5.948619375651255,"Min/max: min, Selection: tournament, Crossover: two_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,tournament,two_point,flip_bit,-0.5480103492736816,-1.5490989685058594,-1.9132185815679654,-0.4187665858140393,5.029742038815257,"Min/max: min, Selection: tournament, Crossover: two_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,random,one_point,shuffle_indexes,-0.5518708229064941,-1.5491323471069336,-1.9131965716719268,8.113922381011978,8.066885508459675,"Min/max: min, Selection: random, Crossover: one_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
min,random,one_point,flip_bit,-0.5298409461975098,-1.553898811340332,-1.9125949110653586,7.01262709836319,7.177757543008453,"Min/max: min, Selection: random, Crossover: one_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
